latitude,longitude,name,elevation
-32.127922,22.592161,Gert Adriaanskop,1962.3
-32.19275,23.120934,Blinkfontein se berg,1631.0
-32.32445,23.318424,Vaalberg,1516.0
-31.896553,22.758883,Aasvoëlberg,1830.1
-32.345474,22.624207,Katjieskop,927.6
-32.374405,22.613804,Vaalkoppies,890.8
-32.163315,23.069551,Saalberg,1424.0
-32.159443,23.07941,Katjiesberg,1464.0
-32.3475,23.4567,Spitskop,1272.8448
-32.1667,23.0883,Gifkop,1497.7872
-31.6983,22.6658,Taaiboskop,1659.8
-31.6317,23.3725,Bulberg,1612.6968
-31.5483,22.9658,Spitskop,1777.8984
-32.1958,22.65,Skipberg,1822.0
-31.9792,23.0667,Perdeberg,1480.7184
-32.2308,22.895,Driekop,1227.7344
-31.6892,23.2292,Gys Roosberg,1802.892
-32.2025,22.925,Boegoeberg,1305.7632
-31.6625,22.9475,Rooiberg,1612.6968
-31.9167,22.7792,Tandjiesberg,1764.0
-31.6317,23.3725,Bulberg,1612.7
-32.1692,22.8058,Magielskop,1286.0
-31.5833,22.9692,Leeukop,1706.9
-31.9308,22.8433,Klipbokkop,1540.8
-32.1533,22.6358,Teepunt,1942.8
-32.234417,23.332743,Spitskop,1204.4
