latitude,longitude,name,elevation
24.874058,-100.233734,Cerro El Potosi,3721.0
25.199963,-100.37674,Sierra de la Marta,3705.0
25.247372,-100.35571,Coahuilón,3550.0
25.49898,-100.481026,Cerro Escorpión,2902.0
25.282324,-100.16445,Cerro La Esperanza,2025.0
24.952038,-100.07999,Pico El Águila,2001.0
24.508244,-99.6315,Cerro El Pilón,1515.0
25.144678,-100.35437,Cerro La Perforadora,2895.0
24.724087,-99.959076,Lomas Cuatas,1667.0
24.636246,-99.95258,Cerro Gordo,2126.0
24.669748,-99.981155,Cerro El Rincón,2206.0
24.739847,-99.86781,Cerro El Fuste,1738.0
24.753878,-99.81901,Cerro El Coyote,1742.0
24.708668,-99.80703,Cerro La Florida,2443.0
24.710928,-99.83972,Picacho Las Tunas,2208.0
24.704565,-99.76455,Cerro Los Tanques,1915.0
24.649385,-99.7342,Cerro La Cueva del León,1874.0
24.975578,-99.65415,Loma Las Gallinas,419.0
24.655691,-100.02767,Cerro Viborillas,1965.0
24.659597,-100.02148,Cerro Güero,2061.0
24.665037,-100.01943,Cerro Lagartijo,1935.0
24.53959,-99.97491,Cerro El Rebaje,3016.0
24.518404,-99.9421,Cerro El Infiernillo,3161.0
24.590445,-99.94573,Cerro El Toro,2324.0
24.623186,-100.01868,Cerro El Minuto,2182.0
24.611841,-100.00825,Cerro Los Panteones,2204.0
24.635605,-100.047165,Cerro Borrado,2164.0
24.63896,-100.05506,Cerro Amoles,2165.0
24.612148,-100.07937,Cerro La Bandera,2323.0
24.598354,-100.08156,Cerro Los Perros,2262.0
24.555117,-100.04513,Cerro Mojonera,2661.0
24.535292,-100.04716,Cerro Cortado,2601.0
24.579441,-100.03635,Mesa San Miguel,2534.0
24.56558,-99.83877,Cerro El Jabalí,1786.0
24.553362,-99.854515,Cerro El Capulín,1906.0
25.316452,-100.27791,Cerro El Tejocote,2975.0
25.392874,-100.24639,Cerro Banco de la Boca,1798.0
25.47238,-100.26738,Cerro El Magueyal,2456.0
25.474401,-100.28735,Pico del Norte,2326.0
25.484064,-100.318665,Cerro La Campana,1402.0
25.269556,-100.2095,Pico la Bandera,2767.0
24.561207,-99.72208,Cerro San Ignacio,1907.0
24.614458,-99.722755,Cerro Gordo,1498.0
24.522324,-99.74242,Cerro Morro Alto,1582.0
24.522148,-99.735756,Loma Cuchilla Larga,1502.0
24.501154,-99.72402,Cerro Barrancos Colorados,1521.0
24.971151,-100.04882,Cerro La Chicharra,1645.0
24.790133,-99.75987,Cerro Silletas,861.0
25.084501,-99.97391,Nariz del Indio,1960.0
