latitude,longitude,name,elevation
57.81486,29.078102,Городец,108.0
57.52246,29.44163,Страшный суд,269.2
58.291733,28.663633,г. Соломахина,182.0
58.21785,29.360296,Лисья Гора,84.0
57.920033,29.07902,Гверстянка,89.0
58.272697,28.601381,Кочебуж,204.0
58.10709,29.205866,Дедова Печь,104.0
58.246387,29.171322,Женькин Бугор,133.8
58.233723,29.208633,Гора Сувкова,120.5
58.30193,29.089169,Вишонка,171.0
58.20324,29.12731,Гора Зелёная,133.0
58.2598,29.071177,Гасюнова Гора,162.0
58.245403,29.12879,Пачинова Гора,141.0
58.260082,29.13557,Голубичная,132.0
58.246056,29.098711,Лунина Гора,142.0
58.266197,29.017553,Стинец,154.0
58.31376,29.079245,Орлова Гора,182.3
58.32432,29.121216,Киржбалм,152.0
58.221813,29.012655,Горушка,163.0
58.21498,29.001438,Перехожа,161.0
58.2003,29.037037,Заречная,142.0
58.3164,29.054585,Щирская,181.0
58.29084,29.169548,Губёнка,133.0
58.20196,29.100111,Гора Придорожная,146.0
58.19855,29.145172,Гора Мелинитовая,131.0
58.199482,29.166233,Горелая Сопка,140.0
58.183743,29.228966,Большая Соколья,161.0
58.186382,29.23126,Соколья гора,152.8
58.22023,29.199213,Тухинская,108.0
58.282345,28.995045,Воробьёва,171.0
58.349354,28.690216,Гаврилова Гора,182.0
58.348415,28.971676,Пайкова Гора,180.0
58.299454,28.979187,Демешкина,182.0
58.27692,28.961527,Деева Горка,172.0
58.14699,29.020617,Яхнова Гора,147.0
57.905796,28.562405,Монькина гора,62.0
57.963596,28.635199,Веретьева,78.0
58.253494,29.137707,Альтаюн,139.0
58.214806,29.032467,Хитрая,153.0
58.136997,28.87588,Рахлецова Гора,169.0
58.143623,28.906897,Городок,172.0
58.13499,28.809393,Гладкая,172.0
57.53296,29.35877,Городок,209.0
57.508778,29.372581,Рытицкая,236.0
57.50543,29.418262,Красная гора,288.0
57.50945,29.427332,Красная гора,280.0
58.03781,28.938465,Горская,150.0
58.021317,28.862522,Ильюхина Горка,121.0
58.11565,29.083063,Павлюковская,141.0
58.056335,28.887005,Ильина Гора,138.0
58.1293,29.158155,Маяковская Гора,129.0
58.12331,29.156963,Горская,131.0
58.10093,28.867939,Ситцевая гора,162.0
58.06037,28.82718,Росткова Гора,132.0
58.03379,28.891886,Сверетовская,132.0
58.06948,29.158648,Мардария,115.0
58.03209,29.004812,Ильина Гора,151.0
58.24825,28.810143,Смехнова Гора,146.0
58.21619,28.810476,Поддубная,154.0
58.177902,28.760668,Болтанова гора,170.0
58.29658,28.938171,Милина,140.0
58.120872,28.845251,Вейтлус,171.0
58.086617,28.697908,Городец,150.0
58.110588,28.60535,Савиха,163.0
58.106873,28.733025,Жукова Гора,154.0
58.252598,29.155226,Линная,131.0
58.244625,29.154297,Поступной Бугор,133.6
58.040436,28.821388,Рыкова Горка,123.0
58.09355,29.040266,Амшара,141.0
58.01853,29.042713,Фокина Гора,102.0
58.029747,29.014141,Подложская Гора,147.0
57.95609,28.903543,Мельничная,75.0
57.85557,28.812431,Дубоновическая,87.4
57.8565,28.776798,Боровичская,73.0
58.323166,29.27245,Болван,108.0
58.350254,29.24216,Посадницкая,90.0
57.698853,28.66459,Заборовская,58.0
57.75031,28.701996,Мишина Гора,56.0
