latitude,longitude,name,elevation
-47.071854,167.92154,Kirklands Hill,282.0
-47.085915,167.79884,Mount Allen,750.0
-47.03934,167.84259,Table Hill,716.0
-47.055344,167.83331,Blaikies Hill,703.0
-47.18593,167.57996,Hielanman,205.0
-47.18868,167.5755,Magog Peak,282.0
-47.09942,167.7815,Granite Knob,575.0
-47.10368,167.79422,Lees Knob,590.0
-47.23612,167.53001,Smiths Lookout,474.0
-47.19486,167.5573,Gog Peak,407.0
-46.860386,167.95181,Rocky Mountain,549.0
-46.89823,168.15054,Stony Hill,44.0
-46.867813,168.11765,Garden Mound,164.0
-46.90234,168.12471,Observation Rock,65.0
-46.90168,168.13542,Peterson Hill,65.0
-46.913734,167.82056,Island Hill,137.0
-46.94321,167.88037,Mount Rakeahua,681.0
-46.93989,168.00555,Pryse Peak,352.0
-46.973774,167.96707,Bald Hill,514.0
-46.980972,167.80528,Traills Hill,457.0
-47.028214,167.72963,Doughboy Hill,411.0
-47.03584,168.08127,Adventure Hill,266.0
-46.74053,167.91649,Mount Anglem / Hananui,980.0
-46.75815,167.71832,Red Head Peak,510.0
-46.80553,167.97923,The Paps,606.0
-46.81137,167.98335,The Paps,610.0
-47.222,167.59892,Bald Cone,230.0
-47.224533,167.6514,Pigeon House,90.0
-46.929443,167.79445,Big Sandhill,156.0
-46.614967,168.33879,The Bluff / Motupōhue,265.0
