latitude,longitude,name,elevation
-26.7927,117.98522,Barloweerinyer Hill,616.0
-27.03218,117.82348,Beebynbeebynganna Hill,596.0
-27.37718,117.77117,Cuddingwarra Hill,462.0
-27.04158,118.38635,Cullculli Hill,524.0
-27.36555,118.16617,Eelya Hill,496.0
-26.89689,117.71663,Gnanagooragoo Peak,711.0
-26.93912,117.65562,Little Wilgie-Mia,636.0
-27.18767,118.29651,McCaskill Hill,516.0
-26.57315,118.33192,Mount Opal,524.0
-27.00572,118.1619,Mummarra Hill,556.0
-27.17571,117.96235,Ninden Hill,469.0
-27.20294,118.03842,Pirgan Hill,498.0
-27.27467,117.58409,Telegootherra Hill,544.0
-27.47537,117.83434,Trenton Hill,488.0
-27.16479,118.07701,Tuckanarra Hill,490.0
-27.21461,117.85685,Wattagee Hill,463.0
-26.93005,117.68823,Wilgie-Mia,653.0
-26.99765,117.9256,Yalgowra Hill,522.0
