latitude,longitude,name,elevation
-21.48344,120.48915,Baroona Hill,316.0
-21.19687,120.34943,Bullgarina Hill,342.0
-21.05746,120.27734,Chimingadgi Hill,263.0
-20.91822,119.71975,Doolena Peak,335.0
-20.95505,120.19917,Five Mile Hill,348.0
-21.35608,119.94085,Horrigan Peak,270.0
-21.24264,120.16658,Mount Edgar,371.0
-20.51991,119.62882,Mount Woodhouse,67.0
-21.04264,120.01809,Talga Hill,225.0
-20.91768,119.94388,Talga Peak,296.0
-21.01036,120.00592,The Pinnacles,218.0
-21.06779,119.81222,The Sisters,230.0
-21.32946,119.88723,Warrawoona Peak,398.0
-20.68528,120.36316,White Quartz Hill,132.0
