latitude,longitude,name,elevation
33.456192,78.82319,神炮山 - Shenpao Hill,5144.0
33.18187,79.15197,Mandophoo,6035.0
32.708656,78.72726,Shinowu,6410.0
32.696587,79.4357,Lhari peak,4865.0
33.320385,79.02691,萨巨山/Sajum,6091.0
32.81881,78.67867,Handlung,6180.0
33.439518,78.83939,热钦顶 - Rechin Top,5204.0
33.48328,78.814995,姆巴热,5580.0
32.629086,78.6354,Point 5318,5318.0
33.48329,78.81498,毕隆日 - Mukhpari,5545.0
32.779884,78.962456,Digpa Ratsa-Ri,4500.0
32.66476,78.57464,Chumur peak,4576.0
33.30669,78.65204,Nechung,6087.0
33.188953,78.672,Pariso,4440.0
33.111008,78.95102,Chumik,5985.0
33.046223,78.79153,Sango Chumik,5235.0
32.846554,78.92248,Raindong,5035.0
32.79508,78.85478,Kaimaota,4820.0
33.003788,78.50439,Shukule North,6410.0
32.640797,79.29569,Irira,6245.0
32.992107,79.047714,Chanalung,5900.0
