latitude,longitude,name,elevation
-39.445766,-70.333664,Cerro Caichigüé,1439.0
-39.432476,-69.81647,Cerro Cerrito Mesa,710.0
-39.496136,-70.22222,Cerro China Muerta,1158.0
-39.436214,-70.1702,Cerro El Marucho,1002.0
-39.22267,-70.38794,Cerro Grande,1675.0
-39.255295,-70.12059,Cerro La Bandera,922.0
-39.17388,-70.40793,Cerro Lohan Mahuida,1988.0
-39.464703,-70.45892,Cerro Media Luna,1508.0
-39.273163,-70.016174,Cerro Negro,1004.0
-39.21843,-69.99593,Cerro Picun Leufu,1369.0
-39.409332,-69.818565,Cerro Piedra Parada,685.0
-39.29471,-70.37914,Cerro Trapial Mahuida,1774.0
-39.334682,-70.15733,Cerro del Overo,1170.0
-39.261314,-70.21002,Cerro del Sapo,1306.0
-39.111774,-70.47023,Cerro Barro Negro,1654.0
-38.909035,-70.33978,Cerro Cansino,1811.0
-38.924923,-70.460014,Cerro Carreri,1875.0
-39.096092,-70.171814,Cerro Guadaloso,1359.0
-39.03885,-70.45825,Cerro Huemul Chico,1603.0
-39.033615,-70.49786,Cerro Huemul,1845.0
-39.00993,-70.23657,Cerro Macho Viejo,1490.0
-39.06984,-70.10316,Cerro Manchado,1294.0
-39.107147,-70.34598,Cerro Mangrullo,1422.0
-39.07287,-70.29957,Cerro Mellizo Sur,1723.0
-38.9025,-70.018715,Cerro Michacheo,1034.0
-39.026638,-70.120125,Cerro Michacheo,1083.0
-39.023865,-70.25818,Cerro Morado,1523.0
-39.09188,-70.387115,Cerro Pichi Ñireco,1547.0
-39.152325,-70.19072,Cerro Salinitas,1332.0
-39.14691,-70.263084,Cerro Santo Domingo,1585.0
-39.050438,-70.24415,Cerro Tape,1444.0
-39.0229,-70.374275,Cerro de La Laguna,1459.0
-39.15307,-70.22631,Cerro de Las Vacas,1386.0
-39.0609,-70.44892,Cerro Ñireco,1749.0
-38.910355,-70.48564,Peña Carreri,1170.0
-38.7862,-70.42458,Cerro Bodega,1300.0
-38.819775,-70.49721,Cerro La Totora,1535.0
-38.753082,-70.483765,Cerro Llamuco,1602.0
-38.692616,-70.42455,Chos Mahuida,1180.0
-38.691708,-70.06103,Cerro Bayo,1083.0
-38.767082,-70.12494,Cerro Bustamante,951.0
-38.60683,-70.31641,Cerro Irigoyen,1100.0
-38.735916,-70.34578,Cerro La Arena,1201.0
-38.737705,-70.31464,Cerro La Bandera,1360.0
-38.73709,-70.40497,Cerro La Leona,1375.0
-38.680504,-70.27061,Cerro Manzano Grande,1558.0
-38.701717,-69.96555,Cerro Maruco,760.0
-38.745026,-69.91637,Cerro Mesa,1010.0
-38.61485,-69.87925,Cerro Mocho,810.0
-38.77689,-70.40169,Cerro Mocho,1380.0
-38.82465,-70.31975,Cerro Morado,1280.0
-38.765522,-69.98366,Cerro Negro,1087.0
-38.60097,-69.943504,Cerro Partido,920.0
-38.74164,-70.11393,Cerro Tres Puntas,1045.0
-38.762314,-70.38013,Cerro de La Leña,1500.0
-38.931503,-69.70487,Cerro Atravesado,849.0
-38.68898,-69.8231,Cerro Encaramado,772.0
-39.18122,-69.64896,Cerro Lotena,939.0
-38.766308,-69.64347,Cerro Mesa,824.0
-38.67384,-69.825615,Cerro Pelado,760.0
-39.348495,-69.505516,Cerro La Ventana,620.0
-39.33753,-69.64385,Cerro Sosa,650.0
-38.51767,-70.07758,Cerro Bajada del Agrio,1300.0
-38.544838,-69.92356,Cerro Campana,970.0
-38.54038,-69.967766,Cerro Guanaco,1070.0
-38.563194,-70.11826,Cerro Mallín Quemado,1380.0
-38.546978,-69.892426,Cerros Atorados,753.0
-39.070724,-70.30792,Cerro Mellizo Sur,1667.0
