latitude,longitude,name,elevation
33.98629,77.44215,Stok Kangri,6140.0
33.51495,77.05142,Cheringo,5752.0
34.25085,76.900604,Manan,5277.0
34.369263,76.656265,Nindam,5499.0
34.02948,76.79314,Machu Kangri,6086.0
34.121475,76.7182,Nigutse South,5750.0
33.84609,77.05115,Nangma,5550.0
33.81019,76.988754,Suskian,5590.0
33.78088,77.01678,Ukharpu,6050.0
34.01393,77.35581,Manikeo,5520.0
34.347404,77.291954,Hanu,5680.0
34.033833,77.36563,Ganda Ri,5200.0
34.43774,77.4967,Lungmochey Kangri,6070.0
34.3939,77.431725,Sahib Chera,6100.0
33.51162,76.7238,Starikatchan (Sakamoto H7),5904.0
33.92372,77.22332,Namlas,4830.0
34.076683,76.68441,Chomotang III (Chomotang southwest),5850.0
34.062885,76.741585,Hemar Ri,5699.0
