latitude,longitude,name,elevation
36.270523,32.30484,Cebeli Tepesi,82.0
36.258297,32.283154,Selinus,138.0
36.23449,32.3157,Koru Dağı,375.0
36.281227,32.28654,Evliyatepe,184.0
36.446735,32.148632,Asar Tepe,390.0
36.290924,32.41534,Sarpkorum Daği,997.0
36.292244,32.439007,Çukurbelen Tepe,1250.0
36.450127,32.493736,Kalinkaya Tepe,2188.0
36.240635,32.436657,Bozkaya Tepe,780.0
36.36632,32.39753,Döllük Tepe,575.0
36.384468,32.35584,Kene Dağı,870.0
36.42463,32.39182,Karatepe,1552.0
36.48143,32.47326,Akçal Dağı,1972.0
36.207726,32.39805,Azı Tepe,356.0
36.334064,32.366554,Küçüklü Tepe,412.0
