latitude,longitude,name,elevation
-37.43556,-70.48586,Cerro Caycayen,2331.0
-37.475307,-70.390366,Cerro Las Cortaderas,1680.0
-37.168774,-69.947975,Cerro Bayo,2502.0
-37.157608,-70.41224,Cerro Cañañan,1460.0
-37.071907,-70.284645,Cerro China Muerta,2114.0
-37.494244,-70.000824,Cerro Curaco,1741.0
-37.035065,-69.958374,Cerro Michico,2023.0
-37.229153,-70.03675,Cerro Negro del Tromen,3386.0
-37.126667,-70.32695,Cerro Negro,2540.0
-37.28903,-70.12972,Cerro Tilhue,2560.0
-37.0528,-70.11884,Cerro Wayle,3296.0
-37.34556,-70.030945,Cerro de La Arena,1755.0
-36.62576,-70.12951,Cerro Bayo,2647.0
-36.63947,-70.28984,Cerro Chenque Mallín,3555.0
-36.593884,-70.20386,Cerro Coyuco,3249.0
-36.68405,-70.03835,Cerro Los Algarrobos,1770.0
-36.76207,-70.06344,Cerro Chenqueco,2506.0
-36.948517,-70.19494,Cerro Chorrollal,2726.0
-36.90947,-70.41131,Cerro Collocho,2537.0
-36.769466,-70.287766,Cerro La Cruzada,3520.0
-36.911983,-70.0783,Cerro Negro de Buta Mallín,3233.0
-36.870316,-70.287506,Cerro Palao,3583.0
-36.86514,-70.13256,Cerro Polco,2932.0
-36.851463,-70.437454,Cerro de la Quebrada Mala,3182.0
-36.958935,-69.86863,Cerro Huemul,1433.0
-36.68858,-69.82373,Cerro Bayo de La Esperanza,1934.0
-36.709965,-69.839485,Cerro Cochiquito,1605.0
-36.79283,-69.68479,Cerro Mayal O Silla Negra,1987.0
-36.58108,-69.93898,Cerro Mayorga,3151.0
-37.361534,-70.29262,Cerro de la Virgen,1131.0
-36.543602,-70.32845,Bota Cura,3079.0
