latitude,longitude,name,elevation
38.326748,-83.2049,Armstrong Hill,337.0
38.143417,-82.94767,Backbone Hill,242.0
37.557034,-83.32796,Bald Hill,276.0
37.81593,-82.75766,Bettys Knob,376.0
37.64176,-83.012665,Big Half Mountain,427.0
38.342304,-83.08462,Biggs Hill,343.0
38.132587,-82.81572,Bishop Knob,337.0
38.436466,-83.35629,Blue Ridge Hill,374.0
38.008144,-83.08795,Buck Knob,384.0
37.70954,-82.5171,Chestnut Knob,436.0
37.805923,-82.99406,Cotton Knob,406.0
37.972866,-83.151566,Granddaddy Knob,385.0
37.554256,-83.400734,High Knob,420.0
38.39536,-82.80572,High Knob,314.0
38.4948,-83.27351,High Rock,330.0
38.134254,-82.81655,Hinton Knob,344.0
37.61676,-83.07545,Hogtown Knob,460.0
38.292305,-82.8835,Hunts Knob,332.0
37.904537,-82.79155,Lettered Rocks,332.0
37.969254,-83.19267,Limekiln Knob,376.0
37.660095,-83.00378,Little Half Mountain,391.0
38.13814,-83.03295,Locust Knob,392.0
38.48869,-83.27351,Lost Hill,224.0
38.05675,-83.03433,Peters Hill,364.0
37.5512,-83.3674,Picnic Hill,361.0
37.623703,-83.31462,Pilot Knob,445.0
37.782867,-83.329346,Pilot Knob,403.0
38.383137,-83.03434,Potato Knob,335.0
37.555923,-83.33518,Rainbow Hill,279.0
37.850647,-82.87322,Rocky Knob,335.0
38.47619,-83.25462,Stone Hill,242.0
37.78315,-82.920166,Stuffley Knob,456.0
37.83009,-83.29796,Testerman Knob,390.0
38.224804,-83.03961,Whitley Knob,338.0
37.558147,-83.29018,Williams Hill,272.0
37.85676,-82.95656,Potato Knob,338.0
37.870647,-82.950165,Locust Knob,338.0
37.837593,-82.899055,Cane Knob,307.0
38.126194,-83.41102,Clack Mountain,400.0
37.919533,-83.26962,Daisy Knob,310.0
38.13786,-83.47658,Limestone Knob,433.0
38.122463,-83.44702,Lockegee Rock,388.0
38.055637,-83.48296,Wilson Hill,322.0
37.926754,-83.27184,Wells Hill,275.0
38.44956,-82.61918,Gartrell Hill,207.0
37.941944,-82.61972,Peach Orchard Knob,316.0
37.637882,-82.531456,Sycamore Mountain,422.0
37.50563,-82.55283,Coal Run Hill,223.0
38.079723,-83.20944,Doctors Knob,376.0
38.061943,-83.20361,Elisha Fannin Hill,314.0
38.068333,-83.20472,Fannin Hill,320.0
38.08861,-83.18,The Jeff Knob,319.0
38.044407,-83.398,Poppin Hill,289.0
38.3589,-82.95477,Tinsley Hill,233.0
38.34848,-82.94626,Bald Eagle Hill,240.0
38.3588,-83.108795,Hocks Nest,211.0
38.312325,-83.03709,Mayo Hill,323.0
38.44461,-83.209335,Staffords Hill,348.0
38.347187,-82.82676,Star Hill,257.0
37.513744,-83.08149,Big Lovely Mountain,427.0
38.106945,-83.243614,Bob Horton Hill,385.0
38.07639,-82.83607,Cherokee Hill,275.0
38.16139,-82.7082,Jerry Riffe Hill,297.0
38.21389,-82.73934,Miller Hill,296.0
37.9725,-82.6623,Phil Hill,311.0
38.375988,-83.46811,The Black Stairs,319.0
37.963287,-83.22884,Fairfield Hill,287.0
37.824818,-83.23847,Jeff Lewis Hill,373.0
37.973896,-83.305595,McClannahan Hill,342.0
37.92171,-83.24778,Park Hill,257.0
37.906662,-83.04422,Peddler Hill,387.0
38.032784,-83.28843,Winding Stairs,312.0
