latitude,longitude,name,elevation
68.40773,-145.36678,Nichenthraw Mountain,1950.0
68.479485,-144.91002,Tetsyeh Mountain,1990.0
68.21898,-144.94586,Titus Mountain,1619.0
68.181816,-145.1054,Vorzui Mountain,1317.0
67.8965,-145.12479,Chotzatdhah,954.0
68.092705,-145.28023,Shark Edge Mountain,1140.0
68.16542,-145.31303,Tikyitsal Mountain,999.0
68.09416,-144.8645,Peter John Mountain,1105.0
68.14066,-144.98239,Old John Mountain,1125.0
68.44202,-144.94193,Titus Mountain,1799.0
68.20535,-145.2176,Swan Mountain,1249.0
68.32049,-144.78902,Salmon Mountain,1391.0
68.21465,-145.06267,Signal Mountain,1275.0
