latitude,longitude,name,elevation
-19.822628,-43.676697,Serra da Piedade,1751.0
-19.958061,-44.42479,Serra do Elefante,1234.0
-20.182844,-43.62894,Ouro Fino,1763.0
-20.034071,-43.858757,Morro da Glória,1144.0
-20.026932,-43.870064,Morro do Pires,1374.0
-19.946602,-43.890118,Pico Belo Horizonte,1390.0
-20.135351,-43.513252,Canjerana,1928.0
-20.240705,-43.86754,Pico do Itabirito,1588.0
-19.88069,-44.243237,Serra Negra,1163.0
-19.779518,-44.263126,Serra do Cupim,996.0
-19.734554,-44.334553,Serra do Grotão,915.0
-19.721806,-44.310066,Serra da Formiga,845.0
-19.680346,-44.349125,Serra Esquenta Sol,955.0
-19.673412,-44.364983,Serra do Café,959.0
-19.67157,-44.314293,Serra do Urucuia,1005.0
-19.639738,-44.35182,Serra Santa Cruz,859.0
-19.572315,-44.405796,Serra da Tumba,908.0
-19.594118,-44.248928,Serra do Caeté,943.0
-20.04999,-44.44504,Serra da Saudade,1046.0
-19.951866,-44.49936,Serra do Mato Dentro,1179.0
-19.970839,-44.47714,Serra da Sesmaria,1106.0
-19.945204,-44.434566,Serra da Boa Vista,1298.0
-19.836517,-44.498573,Serra do Tavares,947.0
-19.868181,-44.02856,Morro do Confisco,900.0
-19.942726,-43.879013,Pico do Grotão,1205.0
-19.949348,-43.896786,Vulcãozinho,1260.0
