latitude,longitude,name,elevation
-4.3002625,55.68821,Viewpoint 2 Anse Georgette,194.0
-4.307634,55.70709,Zimbabwe,250.0
-4.341033,55.72769,Cabris,250.0
-4.2823706,55.72166,Curieuse,172.0
-4.320527,55.769592,Fond Diable,213.0
-4.3103414,55.699715,L'Amitié,280.0
-4.317656,55.717175,Manny New,230.0
-4.3398213,55.741528,Praslin,350.0
-4.3185844,55.732525,Salazie,280.0
-4.3263493,55.742233,Stooge,290.0
-4.3250885,55.731205,Takamaka,319.0
-4.3596687,55.843334,Nid d'Aigle (Belle Vue),333.0
-4.211605,55.66208,Gros La Tête,135.0
