latitude,longitude,name,elevation
-27.697546,-70.5419,Cerro Guías,777.0
-27.733562,-70.8315,Cerro Los Bayitos,305.0
-27.706285,-70.803406,Cerro Campanita,383.0
-27.673044,-70.67545,Cerro Araña,475.0
-27.574175,-70.64106,Cerro Normilla,602.0
-27.596512,-70.75259,Cerro Grande de Chascón,574.0
-27.599325,-70.8063,Cerro Chascón,455.0
-27.718657,-71.02404,Cerro Los Cachos,241.0
-27.777771,-70.94657,Punta Ávalo,423.0
-27.801025,-70.80461,Cerro Las Vacas,607.0
-27.92838,-70.875305,Cerro La Noria,498.0
-27.965712,-70.841774,Morro Algarrobilla,350.0
-28.061794,-70.77036,Cerro Chañar,871.0
-28.022467,-71.11316,Cerro La Loca,503.0
-28.06985,-70.88512,Cerro Cardones,811.0
-28.071829,-71.01892,Cerro Chuchampe,913.0
-27.953564,-71.08268,Cerro Galena,502.0
-27.93218,-71.03054,Cerro El Molle,614.0
-27.927383,-70.96595,Cerro Peñablanca,437.0
-27.969763,-70.922646,Cerro Púlpito,786.0
-27.989779,-70.94312,Cerro Montosa,808.0
-27.783031,-70.85551,Cerro La Diuca,451.0
-27.826153,-70.94136,Cerro Loma Colorada,463.0
-27.88009,-70.932755,Cerro La Minita,394.0
-27.861273,-70.90705,Cerro Escobilludo,687.0
-27.900003,-70.57025,Cerro Bayos Chicos,521.0
-27.905617,-70.60591,Cerro Bayos Grandes,679.0
-27.84029,-70.61958,Cerro Bandurria,415.0
-27.803331,-70.64047,Cerro El Chango,307.0
-27.81953,-70.677795,Cerro El Paico,379.0
-27.819056,-70.77429,Cerro Palo Negro,633.0
-27.869638,-70.786095,Cerro Mostaza,424.0
