latitude,longitude,name,elevation
-28.72753,114.77877,Appa Hill,193.0
-28.6941,114.79733,Beatenally Hill,213.0
-28.84958,114.84677,Karlanew Peak,192.0
-29.35849,115.23485,Mount Adams,256.0
-28.50841,114.82122,Mount Erin,259.0
-28.74729,114.69618,Mount Fairfax,186.0
-29.01918,114.9313,Mount Hill,182.0
-28.89967,114.9666,Mount Michael,239.0
-28.56869,114.83984,Nightcap Hill,233.0
-28.854122,115.000595,Rocky Peak,110.0
-29.22462,115.19842,Strawberry Hill,202.0
-28.62575,115.10975,Thurnoonggnoo Bluff,260.0
-28.82221,114.78898,Wizard Peak,218.0
-28.64342,114.65836,Wokatherra Hill,221.0
