latitude,longitude,name,elevation
-29.115786,-68.915794,Cerro Quebrada de Las Varas,4553.0
-29.287676,-68.95949,Cerro Silvo,4410.0
-29.090887,-68.62341,Cerro Cordobés,4190.0
-28.593433,-68.59568,Cerro Agua de Lucho,2918.0
-28.536272,-68.61916,Cerro Agua del León,3016.0
-29.127523,-68.63306,Cerro Alvaldo,3208.0
-29.147104,-68.72047,Cerro Bola,2560.0
-29.318287,-68.869896,Cerro Bola,2793.0
-28.854778,-68.61987,Cerro Cacho,3260.0
-29.258827,-68.89069,Cerro Cebada,3650.0
-29.087484,-68.8635,Cerro El Salto,4450.0
-28.894508,-68.7022,Cerro La Aspereza,4308.0
-28.595646,-68.875854,Cerro La Falda,4829.0
-29.499065,-68.90501,Cerro Letrero,3688.0
-29.137383,-68.7014,Cerro Los Pozos,2916.0
-28.688263,-69.139626,Cerro Los Sapitos,4063.0
-28.514093,-68.582825,Cerro Morterito,3798.0
-29.402264,-68.75349,Cerro Pelado,2355.0
-28.552475,-68.84814,Cerro Peñoncito,4583.0
-29.380844,-68.89108,Cerro Piedra Blanca,3286.0
-28.652494,-68.54852,Cerro Punta Negra,2832.0
-29.182262,-68.6287,Cerro Quemado,3176.0
-29.213951,-68.597046,Cerro San Antonio,2424.0
-29.430553,-68.84592,Cerro Torre,2526.0
-29.173994,-68.72628,Cerro Veladero,2356.0
-28.623842,-69.18044,Cerro de Ranchillos,4149.0
-29.429855,-68.68951,Cerro de La Flecha,1814.0
-29.187235,-68.88565,Cerro de La Mesada,4482.0
-29.484041,-68.93776,Cerro de Las Bardas,3891.0
-29.279757,-68.612885,Cerro Colorado,2194.0
-29.464964,-68.999504,Cerro de La Bolsa,4857.0
-29.20299,-69.21771,Cerro Los Chilenos,4160.0
-29.243826,-69.242,Cerro Negro,3852.0
-29.490246,-69.39024,Cerro Ocucaros,3822.0
-29.40979,-69.34642,Cerro Lagunita,3566.0
-29.233751,-69.471985,Cerro Imán,5467.0
-29.319702,-69.42602,Cerro de Los Corrales,4201.0
-28.999199,-69.467155,Cerro Santa Rosa,4082.0
-29.066023,-69.46049,Cerro de Las Mulas,4855.0
-28.949736,-69.48733,Cerro Infiernillo,4482.0
-28.810492,-69.47529,Cerro Mediondo O Rincón del Diablo,4280.0
-28.771624,-69.37316,Cerro Bravo,4543.0
-28.804205,-69.22751,Loma Loma Alta,3649.0
-28.585585,-68.728584,Cerro La Vicuña,3041.0
-29.357332,-68.971825,Cerro El Cepo,4270.0
-29.071714,-68.91078,Cerro Alto de Descubrimiento,4817.0
-28.840208,-68.92962,Cerro Chaparro,4013.0
-28.8001,-69.241844,Loma Alta,3791.0
-29.28657,-68.95788,Silvio,4486.0
-28.623549,-69.18029,Ranchillos,4137.0
-28.974516,-68.94548,Chaparro,4159.0
-29.108248,-69.208595,Peña Blanca,4106.0
-29.211012,-69.21485,De los Chilenos,4160.0
-28.81082,-69.47581,Hediondo (o Rincón del Diablo),4132.0
-29.24368,-69.24258,Negro,3875.0
-29.290947,-69.13642,Negro,3868.0
-29.072632,-68.9086,Alto o Del Descubrimiento,4851.0
-29.115065,-68.90983,Quebradas de las Varas,4553.0
-28.771252,-69.3606,Bravo,4730.0
